post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47765374,Show HN: Kontext CLI – Credential broker for AI coding agents in Go,technology,7,0,mc-serious,2026-04-14 21:05:34,0.0,False
47762864,Backblaze has stopped backing up your data,technology,532,334,rrreese,2026-04-14 21:05:35,0.626641651031895,True
47766611,The AI School Bus Camera Company Blanketing America in Tickets,technology,20,9,jimt1234,2026-04-14 21:05:37,0.42857142857142855,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,82,37,tie-in,2026-04-14 21:05:43,0.4457831325301205,False
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,56,8,adunk,2026-04-14 21:05:46,0.14035087719298245,False
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,15,1,apollinaire,2026-04-14 21:05:48,0.0625,False
47728970,"Write less code, be more responsible",technology,137,85,orhunp_,2026-04-14 21:05:51,0.6159420289855072,False
47766330,To teach in the era of ChatGPT is to know pain,technology,5,1,ckemere,2026-04-14 21:05:53,0.16666666666666666,False
47708457,Rust Threads on the GPU,technology,101,31,PaulHoule,2026-04-14 21:05:55,0.30392156862745096,False
47753689,Building a CLI for all of Cloudflare,technology,320,104,soheilpro,2026-04-14 21:05:56,0.32398753894080995,True
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,86,28,mufeedvh,2026-04-14 21:05:57,0.3218390804597701,False
47764164,The Case Against Gameplay Loops,technology,43,43,coinfused,2026-04-14 21:05:59,0.9772727272727273,False
47729046,Air Powered Segment Display? [video],technology,123,11,ProfDreamer,2026-04-14 21:06:02,0.08870967741935484,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,137,33,galaxyLogic,2026-04-14 21:06:05,0.2391304347826087,False
47759292,The AI revolution in math has arrived,technology,95,49,sonabinu,2026-04-14 21:06:11,0.5104166666666666,False
47750872,Servo is now available on crates.io,technology,460,147,ffin,2026-04-14 21:06:13,0.3188720173535792,True
47766164,90% of CEOs Say AI Changed Nothing. The Other 10% Have a PR Team,technology,26,11,mooreds,2026-04-14 21:06:14,0.4074074074074074,False
47755209,B-trees and database indexes (2024),technology,110,41,tosh,2026-04-14 21:06:15,0.36936936936936937,False
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,87,26,mfilion,2026-04-14 21:06:17,0.29545454545454547,False
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,87,43,bookofjoe,2026-04-14 21:06:18,0.48863636363636365,False
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,267,109,dvaughan,2026-04-14 21:06:23,0.40671641791044777,True
47733217,Exploiting the most prominent AI agent benchmarks,technology,579,140,Anon84,2026-04-14 21:06:25,0.2413793103448276,True
47761371,Bear Roll – Daily roll of Bear Blog's top posts,technology,8,1,freediver,2026-04-14 21:06:32,0.1111111111111111,False
47754179,Claude Code may be burning your limits with invisible tokens,technology,46,6,jenic_,2026-04-14 21:06:33,0.1276595744680851,False
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,71,62,adulion,2026-04-14 21:06:35,0.8611111111111112,False
47764975,Man suspected of Molotov attack Sam Altmans home charged with attempted murder,worldnews,7,1,Bender,2026-04-14 21:06:35,0.125,False
47763185,An open letter to the UK Government on digital privacy,worldnews,13,4,vsajip,2026-04-14 21:06:38,0.2857142857142857,False
47760360,An Amazon warehouse worker died on the job at Oregon facility,worldnews,11,1,cebert,2026-04-14 21:06:53,0.08333333333333333,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 21:07:39,0.6287015945330297,True
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,21,0,isaacfrond,2026-04-14 21:07:53,0.0,False
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 21:08:09,0.14285714285714285,False
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 21:08:34,0.4722222222222222,True
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 21:09:40,0.3611111111111111,False
47745230,Sam Altman's home targeted in second attack,worldnews,152,359,babelfish,2026-04-14 21:09:46,2.34640522875817,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 21:09:58,0.9338422391857506,True
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 21:10:37,0.80625,True
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 21:10:42,0.3870967741935484,False
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,8,0,matthest,2026-04-14 21:10:52,0.0,False
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,262,69,tlhunter,2026-04-14 21:11:03,0.2623574144486692,True
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 21:11:14,0.5064935064935064,False
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,ceejayoz,2026-04-14 21:11:19,0.1111111111111111,False
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,457,251,m-hodges,2026-04-14 21:11:39,0.5480349344978166,True
